Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Preparation,Flowchart Shapes,1,,,,,,,Programmet står klar på skærmen
3,Manual Input,Flowchart Shapes,1,,,,,,,"Brugeren siger en kommando (fx ""Hvor er rektors kontor"")"
4,Preparation,Flowchart Shapes,1,,,,,,,"Raspberry Pien sættes op, og starter programmet"
5,Process,Flowchart Shapes,1,,,,,,,"script.js optager dét
der bliver sagt"
6,Process,Flowchart Shapes,1,,,,,,,Brugeren klikker på knappen for at starte lydoptagelsen
7,Data (I/O),Flowchart Shapes,1,,,,,,,Optagelsen bliver sendt til WebSpeechAPI
8,Data (I/O),Flowchart Shapes,1,,,,,,,"WebSpeechAPI transkriberer tekst
ud fra optagelse"
9,Database,Flowchart Shapes,1,,,,,,,"Teksten bliver analyseret, og krydsrefereret med ord i databasen"
10,Decision,Flowchart Shapes,1,,,,,,,Findes ordet i databasen?
11,Process,Flowchart Shapes,1,,,,,,,Den relevante information om det brugeren søger vises på skærmen
12,Delay,Flowchart Shapes,1,,,,,,,En timer på 30 sekunder startes
13,Line,,1,,,4,2,None,Arrow,
14,Line,,1,,,2,6,None,Arrow,
15,Line,,1,,,6,3,None,Arrow,
16,Line,,1,,,3,5,None,Arrow,
17,Line,,1,,,5,7,None,Arrow,
18,Line,,1,,,7,8,None,Arrow,
19,Line,,1,,,8,9,None,Arrow,
20,Line,,1,,,10,2,None,Arrow,Nej
21,Line,,1,,,9,10,None,Arrow,
22,Line,,1,,,10,11,None,Arrow,Ja
23,Line,,1,,,11,12,None,Arrow,
24,Line,,1,,,12,2,None,Arrow,
25,Line,,1,,,11,6,None,Arrow,